DrugBank_id,drug_smile
DB00664,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
DB00178,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
DB00496,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
DB06414,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
DB00892,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N
DB00731,CC(C)[C@H]1CC[C@H](C(O)=N[C@H](Cc2ccccc2)C(=O)O)CC1
DB08873,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
DB00669,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
DB00721,CCN(CC)CCOC(=O)c1ccc(N)cc1
DB06817,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
DB00625,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
DB06441,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O
DB00308,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
DB01355,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
DB00296,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
DB01581,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
DB00866,C=CCc1ccccc1OCC(O)CNC(C)C
DB00807,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
DB00366,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
DB00576,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
DB09342,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC
DB12332,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
DB08976,O=C(OC[C@H](O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
DB00134,CSCC[C@H](N)C(=O)O
DB01015,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
DB08996,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21
DB00799,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
DB00248,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB09047,N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00809,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
DB00885,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12
DB01601,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
DB08967,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C
DB06147,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
DB01582,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
DB09071,CCC(O)=NC[C@@H]1C[C@H]1c1cccc2c1CCO2
DB06202,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
DB00716,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
DB00636,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
DB01120,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
DB00243,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00263,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
DB01016,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
DB01039,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
DB00918,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
DB06150,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
DB09006,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O
DB01430,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1
DB08868,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
DB01299,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC
DB06403,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
DB11106,CC(C)(N)CO.Cn1c(=O)c2nc(Br)[nH]c2n(C)c1=O
DB00890,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00448,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
DB05351,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1
